code,iso,country,PMD.raw.2015,PMD.raw.2016,PMD.raw.2017,PMD.raw.2018,PMD.raw.2019
826,GBR,United Kingdom,294.8980096,289.6564515,286.4196291,285.8509262,280.5127785
840,USA,United States of America,283.5238203,267.2755296,252.9543121,250.8516978,249.4296641
32,ARG,Argentina,624.5758182,620.0178524,596.8603743,585.5216743,580.4380542
156,CHN,China,1921.885946,1854.62846,1782.888749,1749.996404,1743.3549
566,NGA,Nigeria,1929.854375,1904.940118,1849.284647,1838.035469,1869.209248
818,EGY,Egypt,4388.481759,4248.828354,4089.565822,4034.412844,3993.224209
76,BRA,Brazil,568.7506785,568.0071932,552.8455853,546.0554702,542.7443866
392,JPN,Japan,262.7909262,261.7102781,257.2665629,256.6441396,256.0192158
643,RUS,Russia,975.8511373,871.8861424,763.8980703,754.5885114,764.4997137
276,DEU,Germany,375.4855158,353.7205444,338.2790574,335.3876598,334.522656